Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
3395,3588,3966,21494,10.5,10.4,49.4,6.9,8.1,2.7,0.7,73.5,0.0,8.9,77194,4073
2319,2384,3116,32876,13.0,48.7,12.4,4.1,12.4,65.4,14.8,5.7,0.0,0.0,64203,2491
1987,1980,2938,80384,2.9,76.1,7.9,2.8,13.2,60.4,3.1,18.0,0.0,0.0,165139,2142
2354,2265,4231,29815,22.0,33.6,25.0,6.2,2.0,52.3,39.4,4.4,0.0,0.0,40720,3040
2716,3098,4093,30658,6.8,38.6,13.3,3.5,7.6,89.1,0.0,1.5,0.7,0.0,76442,3154
2136,2034,3237,22977,18.5,30.1,18.9,10.9,11.1,79.3,0.4,1.4,3.1,0.1,43577,1569
1579,1557,2234,65377,1.2,62.2,8.7,3.5,1.6,85.7,3.1,7.7,0.0,0.0,126023,1524
6677,7137,6662,17390,25.0,23.2,38.8,14.8,89.9,3.1,5.3,0.3,0.0,0.0,36000,6211
1174,1350,1738,69207,3.4,71.2,9.7,4.3,3.7,85.3,1.5,1.9,0.0,0.0,121583,1406
1185,1216,1923,32189,5.7,43.0,16.4,3.1,4.7,93.9,1.2,0.0,0.2,0.0,72991,1064
2614,2019,4381,15002,56.3,25.5,31.6,3.0,2.2,83.5,9.3,3.1,0.0,0.2,28705,2325
1803,1704,1808,17401,20.9,12.1,19.7,5.5,42.8,33.9,5.0,11.5,4.6,0.0,31671,1875
2029,2130,1622,35977,5.9,79.8,7.8,5.5,5.9,44.9,3.8,40.0,1.4,0.0,73158,1954
2645,2623,3500,40725,6.0,36.8,18.4,3.8,44.5,37.5,0.6,8.3,0.8,5.4,107917,2688
2657,3162,4292,27941,14.8,27.2,12.4,8.0,1.0,7.0,89.1,0.3,0.0,0.3,55361,2846
1649,1566,1902,18875,27.4,20.9,15.3,4.5,40.8,54.0,0.2,0.0,0.2,0.0,38634,1546
4110,3901,6044,44957,5.2,56.6,9.8,7.3,1.1,78.7,5.4,7.5,0.0,0.0,96839,4005
1607,1416,951,12450,13.8,15.3,20.0,8.8,81.5,9.2,1.6,6.6,0.0,0.0,48095,992
2399,2330,3051,19144,20.8,22.9,25.3,15.6,33.9,47.1,5.7,1.1,2.1,0.5,43415,1594
1178,1598,2233,19235,28.3,31.9,22.1,8.7,0.4,71.2,23.9,0.0,1.7,0.0,46620,1364
1020,1141,1669,28760,13.9,36.6,15.7,5.7,4.6,92.7,1.0,0.0,0.0,0.0,65714,988
